Format:             MTData_1.0
# file generated in Wed Dec 29 16:18:39 2021
Frequencies (Hz):     40
3.2000e+02
2.4667e+02
1.9015e+02
1.4657e+02
1.1299e+02
8.7095e+01
6.7137e+01
5.1752e+01
3.9893e+01
3.0751e+01
2.3705e+01
1.8273e+01
1.4085e+01
1.0858e+01
8.3696e+00
6.4517e+00
4.9733e+00
3.8336e+00
2.9551e+00
2.2780e+00
1.7560e+00
1.3536e+00
1.0434e+00
8.0430e-01
6.1999e-01
4.7792e-01
3.6840e-01
2.8398e-01
2.1891e-01
1.6874e-01
1.3008e-01
1.0027e-01
7.7292e-02
5.9580e-02
4.5927e-02
3.5403e-02
2.7290e-02
2.1037e-02
1.6216e-02
1.2500e-02
DataType:    2
realZ
imagZ
Data Block:     80
# FreqNo.   DataType      Value        Error
    1        1    5.867024e-01    2.901863e-02
    1        2    5.747248e-01    3.082017e-02
    2        1    4.947074e-01    2.458978e-02
    2        2    5.501747e-01    2.818401e-02
    3        1    3.797326e-01    2.031061e-02
    3        2    4.846002e-01    2.553323e-02
    4        1    3.379323e-01    1.638001e-02
    4        2    4.173906e-01    2.276581e-02
    5        1    2.430892e-01    1.296878e-02
    5        2    3.884621e-01    1.992046e-02
    6        1    2.100409e-01    1.015856e-02
    6        2    3.134945e-01    1.711580e-02
    7        1    1.519949e-01    7.936836e-03
    7        2    2.949539e-01    1.447906e-02
    8        1    1.160280e-01    6.229429e-03
    8        2    2.438651e-01    1.210163e-02
    9        1    9.727230e-02    4.938348e-03
    9        2    1.922845e-01    1.002872e-02
   10        1    8.645463e-02    3.965987e-03
   10        2    1.713901e-01    8.267599e-03
   11        1    6.042424e-02    3.226793e-03
   11        2    1.358067e-01    6.798643e-03
   12        1    5.002634e-02    2.653626e-03
   12        2    1.048465e-01    5.585200e-03
   13        1    4.312227e-02    2.200346e-03
   13        2    8.905752e-02    4.584240e-03
   14        1    3.581122e-02    1.838752e-03
   14        2    7.162927e-02    3.756190e-03
   15        1    3.232366e-02    1.551504e-03
   15        2    6.067317e-02    3.069819e-03
   16        1    2.808390e-02    1.326096e-03
   16        2    5.143939e-02    2.501690e-03
   17        1    2.133641e-02    1.152119e-03
   17        2    4.209893e-02    2.033965e-03
   18        1    2.118898e-02    1.020107e-03
   18        2    3.191625e-02    1.652859e-03
   19        1    1.688520e-02    9.207131e-04
   19        2    2.524247e-02    1.347275e-03
   20        1    1.675926e-02    8.445674e-04
   20        2    2.170781e-02    1.107341e-03
   21        1    1.691971e-02    7.828112e-04
   21        2    1.877861e-02    9.234194e-04
   22        1    1.477623e-02    7.277717e-04
   22        2    1.527141e-02    7.857689e-04
   23        1    1.312223e-02    6.734417e-04
   23        2    1.498300e-02    6.846174e-04
   24        1    1.260314e-02    6.157472e-04
   24        2    1.253117e-02    6.103849e-04
   25        1    1.115360e-02    5.527009e-04
   25        2    1.126701e-02    5.539542e-04
   26        1    9.793420e-03    4.845515e-04
   26        2    1.053072e-02    5.070546e-04
   27        1    8.582167e-03    4.138131e-04
   27        2    9.192596e-03    4.629707e-04
   28        1    6.986966e-03    3.447061e-04
   28        2    8.980410e-03    4.175247e-04
   29        1    5.578386e-03    2.817561e-04
   29        2    7.122615e-03    3.696445e-04
   30        1    4.789219e-03    2.281775e-04
   30        2    5.359435e-03    3.208113e-04
   31        1    4.111773e-03    1.850603e-04
   31        2    5.580578e-03    2.736126e-04
   32        1    3.175557e-03    1.516633e-04
   32        2    4.479938e-03    2.303580e-04
   33        1    2.449806e-03    1.262691e-04
   33        2    3.581587e-03    1.924053e-04
   34        1    2.276189e-03    1.069598e-04
   34        2    3.049508e-03    1.601507e-04
   35        1    1.839517e-03    9.205469e-05
   35        2    2.781402e-03    1.333228e-04
   36        1    1.566850e-03    8.025712e-05
   36        2    2.209317e-03    1.113006e-04
   37        1    1.454002e-03    7.063953e-05
   37        2    1.752213e-03    9.334477e-05
   38        1    1.210000e-03    6.256955e-05
   38        2    1.561775e-03    7.873095e-05
   39        1    1.129803e-03    5.562909e-05
   39        2    1.336022e-03    6.681430e-05
   40        1    9.943438e-04    4.954670e-05
   40        2    1.158041e-03    5.705114e-05
