Format:        CSEMData_1.0
# file generated in Thu Apr 15 16:25:50 2021
SeaLayer:         1000.0      3.2
Source Location (m):         1
#     X     Y     Z Azimuth   Dip
       0.0        0.0      950.0        0.0        0.0 
Receiver Location (m):      20
#     X     Y     Z
     500.0        0.0     1000.0
    1000.0        0.0     1000.0
    1500.0        0.0     1000.0
    2000.0        0.0     1000.0
    2500.0        0.0     1000.0
    3000.0        0.0     1000.0
    3500.0        0.0     1000.0
    4000.0        0.0     1000.0
    4500.0        0.0     1000.0
    5000.0        0.0     1000.0
    5500.0        0.0     1000.0
    6000.0        0.0     1000.0
    6500.0        0.0     1000.0
    7000.0        0.0     1000.0
    7500.0        0.0     1000.0
    8000.0        0.0     1000.0
    8500.0        0.0     1000.0
    9000.0        0.0     1000.0
    9500.0        0.0     1000.0
   10000.0        0.0     1000.0
Frequencies (Hz):      2
5.0000e-01
2.5000e-01
DataType:       2
ampEx
phsEx
Data Block:     80
#FreqNo   TxNo   RxNo   DataType    Value      Error
    1     1      1      1    4.638014e-10    2.337142e-11
    1     1      1      2   -2.717600e+01    2.864789e+00
    1     1      2      1    3.641894e-11    1.689530e-12
    1     1      2      2   -6.338186e+01    2.864789e+00
    1     1      3      1    5.775789e-12    2.916382e-13
    1     1      3      2   -8.657125e+01    2.864789e+00
    1     1      4      1    1.944910e-12    9.861620e-14
    1     1      4      2   -1.080143e+02    2.864789e+00
    1     1      5      1    9.615486e-13    4.880910e-14
    1     1      5      2   -1.245993e+02    2.864789e+00
    1     1      6      1    5.561244e-13    2.757747e-14
    1     1      6      2   -1.456958e+02    2.864789e+00
    1     1      7      1    3.436246e-13    1.661351e-14
    1     1      7      2   -1.452975e+02    2.864789e+00
    1     1      8      1    2.141683e-13    1.057581e-14
    1     1      8      2   -1.633828e+02    2.864789e+00
    1     1      9      1    1.499608e-13    7.045800e-15
    1     1      9      2   -1.654327e+02    2.864789e+00
    1     1     10      1    9.274993e-14    4.838822e-15
    1     1     10      2   -1.691100e+02    2.864789e+00
    1     1     11      1    6.977980e-14    3.383178e-15
    1     1     11      2    1.838589e+02    2.864789e+00
    1     1     12      1    4.856190e-14    2.391440e-15
    1     1     12      2    1.719476e+02    2.864789e+00
    1     1     13      1    3.494461e-14    1.703782e-15
    1     1     13      2    1.617092e+02    2.864789e+00
    1     1     14      1    2.234203e-14    1.222118e-15
    1     1     14      2    1.544075e+02    2.864789e+00
    1     1     15      1    1.734349e-14    8.823119e-16
    1     1     15      2    1.474488e+02    2.864789e+00
    1     1     16      1    1.234519e-14    6.410956e-16
    1     1     16      2    1.436503e+02    2.864789e+00
    1     1     17      1    1.013584e-14    4.688470e-16
    1     1     17      2    1.314134e+02    2.864789e+00
    1     1     18      1    7.132243e-15    3.451275e-16
    1     1     18      2    1.262255e+02    2.864789e+00
    1     1     19      1    5.305134e-15    2.557496e-16
    1     1     19      2    1.145415e+02    2.864789e+00
    1     1     20      1    4.211007e-15    1.907961e-16
    1     1     20      2    1.054953e+02    2.864789e+00
    2     1      1      1    5.391654e-10    2.627766e-11
    2     1      1      2   -1.736766e+01    2.864789e+00
    2     1      2      1    4.690085e-11    2.388684e-12
    2     1      2      2   -4.439277e+01    2.864789e+00
    2     1      3      1    8.914881e-12    4.714071e-13
    2     1      3      2   -6.971790e+01    2.864789e+00
    2     1      4      1    2.848808e-12    1.469277e-13
    2     1      4      2   -8.564307e+01    2.864789e+00
    2     1      5      1    1.248457e-12    6.609186e-14
    2     1      5      2   -8.780185e+01    2.864789e+00
    2     1      6      1    7.069622e-13    3.829739e-14
    2     1      6      2   -9.302050e+01    2.864789e+00
    2     1      7      1    5.527993e-13    2.546564e-14
    2     1      7      2   -9.386476e+01    2.864789e+00
    2     1      8      1    3.860902e-13    1.803573e-14
    2     1      8      2   -9.341574e+01    2.864789e+00
    2     1      9      1    2.564913e-13    1.313730e-14
    2     1      9      2   -1.071288e+02    2.864789e+00
    2     1     10      1    2.131992e-13    9.703730e-15
    2     1     10      2   -1.091199e+02    2.864789e+00
    2     1     11      1    1.328623e-13    7.229226e-15
    2     1     11      2   -1.114794e+02    2.864789e+00
    2     1     12      1    1.166220e-13    5.421469e-15
    2     1     12      2   -1.259424e+02    2.864789e+00
    2     1     13      1    8.014358e-14    4.090038e-15
    2     1     13      2   -1.252951e+02    2.864789e+00
    2     1     14      1    6.019659e-14    3.103317e-15
    2     1     14      2   -1.350108e+02    2.864789e+00
    2     1     15      1    4.442435e-14    2.367939e-15
    2     1     15      2   -1.402322e+02    2.864789e+00
    2     1     16      1    3.469473e-14    1.816866e-15
    2     1     16      2   -1.459255e+02    2.864789e+00
    2     1     17      1    3.075828e-14    1.401634e-15
    2     1     17      2   -1.527837e+02    2.864789e+00
    2     1     18      1    2.114099e-14    1.087037e-15
    2     1     18      2   -1.571847e+02    2.864789e+00
    2     1     19      1    1.771998e-14    8.473874e-16
    2     1     19      2   -1.625693e+02    2.864789e+00
    2     1     20      1    1.315654e-14    6.638414e-16
    2     1     20      2   -1.741810e+02    2.864789e+00
